id,item,price,description,details,notes
58,"Wine - Red, Marechal Foch",76.64,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",eleifend pede libero quis,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
59,Tea - Herbal Sweet Dreams,18.4,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",phasellus id sapien in,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
60,Grouper - Fresh,95.41,Aliquam quis turpis eget elit sodales scelerisque.,nulla ut erat,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
61,Bread - Onion Focaccia,33.44,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",id ligula suspendisse ornare,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
62,Dragon Fruit,16.37,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",odio in hac habitasse platea,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
63,Cheese Cheddar Processed,44.02,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,etiam justo etiam pretium,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
64,Sour Cream,71.03,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",nec condimentum neque sapien,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
65,Galliano,17.06,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",proin leo odio porttitor id,Phasellus in felis. Donec semper sapien a libero. Nam dui.
66,Cheese - Blue,44.21,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",vel enim sit amet nunc,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
67,Yokaline,37.82,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,a nibh in quis,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
68,Beef - Tender Tips,64.45,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,tristique tortor eu,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
69,Tuna - Yellowfin,64.35,Integer tincidunt ante vel ipsum.,eget tincidunt eget tempus,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
70,Cookies Cereal Nut,50.76,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",amet sem fusce,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
71,Oil - Pumpkinseed,64.28,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,pede posuere nonummy integer,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
72,Laundry - Bag Cloth,42.91,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",natoque penatibus et magnis dis,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
73,Broom - Push,7.86,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,sollicitudin mi sit,In congue. Etiam justo. Etiam pretium iaculis justo.
74,Lychee,38.41,Praesent blandit. Nam nulla.,faucibus orci luctus et ultrices,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
75,Pate Pans Yellow,56.48,Praesent blandit lacinia erat.,mi pede malesuada in imperdiet,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
76,"Syrup - Golden, Lyles",27.12,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",luctus et ultrices,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
77,Sauce - Marinara,42.93,Phasellus sit amet erat.,amet turpis elementum ligula,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
78,"Oranges - Navel, 72",25.25,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",luctus et ultrices posuere cubilia,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
79,Nantucket Orange Juice,42.44,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,ipsum primis in faucibus orci,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
80,French Pastry - Mini Chocolate,86.7,Morbi a ipsum. Integer a nibh.,orci vehicula condimentum curabitur,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
81,Crab Brie In Phyllo,68.14,Nulla facilisi.,lacus morbi quis tortor,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
82,Snapple - Iced Tea Peach,25.12,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,orci mauris lacinia sapien,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
83,Lettuce - Belgian Endive,14.74,Ut tellus.,ridiculus mus etiam vel,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
84,Snapple Lemon Tea,14.21,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",scelerisque mauris sit,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
85,Barley - Pearl,28.24,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",eget massa tempor convallis nulla,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
86,Grenadine,76.9,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,sit amet consectetuer adipiscing elit,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
87,Gatorade - Orange,88.59,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",nullam sit amet turpis,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
88,Wine - Delicato Merlot,25.74,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",tincidunt nulla mollis,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
89,"Corn - Cream, Canned",58.99,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,suspendisse potenti cras in,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
90,Kolrabi,84.11,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",gravida nisi at,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
91,Island Oasis - Cappucino Mix,16.94,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",purus phasellus in felis,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
92,Bread - Bistro White,73.24,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,nisl ut volutpat,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
93,Sugar - Palm,41.24,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",id ornare imperdiet,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
94,"Juice - Pineapple, 48 Oz",25.08,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,ullamcorper augue a suscipit,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
95,Wine - Bouchard La Vignee Pinot,92.95,Nullam molestie nibh in lectus.,lobortis vel dapibus,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
96,Wine - Clavet Saint Emilion,37.39,Aenean sit amet justo.,maecenas ut massa quis,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
97,Cheese - Ricotta,79.86,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,consequat dui nec nisi,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
98,Wine - Cotes Du Rhone Parallele,42.73,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",magna vestibulum aliquet,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
